%time,CO2air,co2_dos
43922.63542,902,0.0062
43922.63889,900,0.0054
43922.64236,876,0.0047
43922.64583,859,0.0039
43922.64931,891,0.0043
43922.65278,924,0.0047
43922.65625,890,0.0051
43922.65972,877,0.0048
43922.66319,862,0.0045
43922.66667,891,0.0042
43922.67014,923,0.0036
43922.67361,917,0.0031
43922.67708,884,0.0025
43922.68056,791,0.0029
43922.68403,804,0.0032
43922.6875,885,0.0036
43922.69097,913,0.0037
43922.69444,910,0.0037
43922.69792,815,0.0038
43922.70139,907,0.0039
43922.70486,927,0.004
43922.70833,906,0.0041
43922.71181,871,0.0027
43922.71528,827,0.0014
43922.71875,832,0
43922.72222,820,0
43922.72569,782,0
43922.72917,782,0
43922.73264,750,0
43922.73611,716,0
43922.73958,724,0
43922.74306,722,0
43922.74653,691,0
43922.75,688,0
43922.75347,673,0
43922.75694,653,0
43922.76042,625,0
43922.76389,607,0
43922.76736,565,0
43922.77083,542,0
43922.77431,509,0
43922.77778,481,0
43922.78125,470,0
43922.78472,464,0
43922.78819,451,0
43922.79167,450,0
43922.79514,453,0
43922.79861,448,0
43922.80208,447,0
43922.80556,445,0
43922.80903,453,0
43922.8125,472,0
43922.81597,465,0
43922.81944,473,0
43922.82292,466,0
43922.82639,468,0
43922.82986,478,0
43922.83333,490,0
43922.83681,492,0
43922.84028,484,0
43922.84375,479,0
43922.84722,489,0
43922.85069,505,0
43922.85417,493,0
43922.85764,514,0
43922.86111,504,0
43922.86458,539,0
43922.86806,511,0
43922.87153,539,0
43922.875,516,0
43922.87847,523,0
43922.88194,526,0
43922.88542,557,0
43922.88889,527,0
43922.89236,568,0
43922.89583,535,0
43922.89931,557,0
43922.90278,530,0
43922.90625,543,0
43922.90972,572,0
43922.91319,536,0
43922.91667,579,0
43922.92014,557,0
43922.92361,539,0
43922.92708,591,0
43922.93056,565,0
43922.93403,562,0
43922.9375,589,0
43922.94097,587,0
43922.94444,558,0
43922.94792,591,0
43922.95139,595,0
43922.95486,599,0
43922.95833,570,0
43922.96181,603,0
43922.96528,566,0
43922.96875,589,0
43922.97222,600,0
43922.97569,636,0
43922.97917,617,0
43922.98264,625,0
43922.98611,589,0
43922.98958,627,0
43922.99306,579,0
43922.99653,597,0
43923,620,0
43923.00347,641,0.0031
43923.00694,747,0.0063
43923.01042,864,0.0094
43923.01389,960,0.0084
43923.01736,947,0.0075
43923.02083,900,0.0065
43923.02431,872,0.0057
43923.02778,929,0.0048
43923.03125,995,0.004
43923.03472,958,0.0027
43923.03819,907,0.0013
43923.04167,884,0
43923.04514,933,0.0006
43923.04861,1009,0.0012
43923.05208,973,0.0018
43923.05556,923,0.0012
43923.05903,893,0.0006
43923.0625,877,0
43923.06597,907,0.0011
43923.06944,977,0.0022
43923.07292,981,0.0033
43923.07639,949,0.0023
43923.07986,898,0.0013
43923.08333,892,0.0003
43923.08681,923,0.0011
43923.09028,960,0.0019
43923.09375,966,0.0026
43923.09722,926,0.0019
43923.10069,893,0.0012
43923.10417,882,0.0005
43923.10764,932,0.0018
43923.11111,972,0.0031
43923.11458,977,0.0044
43923.11806,960,0.0029
43923.12153,913,0.0015
43923.125,877,0
43923.12847,893,0.0015
43923.13194,953,0.0029
43923.13542,1017,0.0044
43923.13889,1028,0.0037
43923.14236,1006,0.0029
43923.14583,992,0.0022
43923.14931,947,0.0014
43923.15278,923,0.0007
43923.15625,887,0
43923.15972,890,0.001
43923.16319,949,0.0019
43923.16667,1003,0.0029
43923.17014,987,0.0021
43923.17361,954,0.0012
43923.17708,939,0.0004
43923.18056,884,0.0004
43923.18403,886,0.0005
43923.1875,914,0.0006
43923.19097,953,0.0007
43923.19444,915,0.0008
43923.19792,915,0.0009
43923.20139,874,0.0017
43923.20486,890,0.0025
43923.20833,943,0.0033
43923.21181,987,0.0029
43923.21528,958,0.0024
43923.21875,954,0.002
43923.22222,889,0.0018
43923.22569,877,0.0017
43923.22917,918,0.0015
43923.23264,970,0.0017
43923.23611,971,0.0019
43923.23958,913,0.0021
43923.24306,906,0.0017
43923.24653,880,0.0014
43923.25,904,0.001
43923.25347,927,0.0012
43923.25694,916,0.0015
43923.26042,900,0.0017
43923.26389,889,0.0021
43923.26736,873,0.0026
43923.27083,958,0.003
43923.27431,942,0.0026
43923.27778,906,0.0022
43923.28125,882,0.0017
43923.28472,902,0.0025
43923.28819,954,0.0033
43923.29167,941,0.0041
43923.29514,887,0.004
43923.29861,893,0.0039
43923.30208,934,0.0039
43923.30556,985,0.0039
43923.30903,984,0.0038
43923.3125,949,0.0038
43923.31597,909,0.0033
43923.31944,898,0.0029
43923.32292,912,0.0024
43923.32639,992,0.0026
43923.32986,974,0.0028
43923.33333,935,0.0031
43923.33681,932,0.003
43923.34028,937,0.003
43923.34375,921,0.003
43923.34722,888,0.0033
43923.35069,926,0.0037
43923.35417,921,0.0041
43923.35764,903,0.0041
43923.36111,908,0.0041
43923.36458,918,0.0041
43923.36806,926,0.004
43923.37153,929,0.004
43923.375,890,0.0039
43923.37847,908,0.0048
43923.38194,892,0.0058
43923.38542,924,0.0068
43923.38889,934,0.0065
43923.39236,909,0.0061
43923.39583,884,0.0058
43923.39931,929,0.0057
43923.40278,945,0.0057
43923.40625,901,0.0056
43923.40972,838,0.0059
43923.41319,882,0.0061
43923.41667,913,0.0063
43923.42014,921,0.0057
43923.42361,885,0.0051
43923.42708,850,0.0045
43923.43056,877,0.0048
43923.43403,876,0.0051
43923.4375,843,0.0053
43923.44097,865,0.0065
